snum,Genre,Title,Artist,duration_ms,explicit,popularity,total_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
127,latin,Como Un Trueno,Ilegales,246266,FALSE,55,10,0.834,0.945,0,-6.527,1,0.0424,0.187,0.0775,0.0731,0.934,130.418,4
128,r&b,Hypnotized (feat. Akon),Plies,188493,TRUE,66,15,0.84,0.571,10,-7.421,1,0.0797,0.16,0,0.406,0.617,116.59,4
129,edm,Make Me Yours,Borgeous,195239,FALSE,50,1,0.577,0.615,7,-6.084,0,0.0395,0.0124,1.33E-06,0.124,0.174,127.904,4
130,edm,Up All Night,OFFAIAH,161972,FALSE,56,2,0.746,0.969,1,-5.201,1,0.0638,0.0319,0.0533,0.0765,0.849,122.99,4
131,rap,Lonely,Speaker Knockerz,186613,TRUE,65,20,0.802,0.582,1,-7.296,0,0.235,0.126,0,0.161,0.338,150.002,4
132,rock,Lady In Black,Uriah Heep,330600,FALSE,57,14,0.547,0.698,7,-7.686,1,0.0384,0.218,0.000132,0.211,0.574,87.467,4
133,latin,Bella - Remix,Wolfine,218360,FALSE,64,1,0.917,0.476,3,-6.621,1,0.0656,0.303,0,0.103,0.87,93.99,4
134,latin,Baby Girl (feat. Lalo Ebratt),Mario Bautista,218469,FALSE,68,1,0.804,0.705,1,-5.272,1,0.199,0.0275,0.000138,0.202,0.45,103.009,4
135,pop,when was it over? (feat. Sam Hunt),Sasha Alex Sloan,218093,FALSE,71,1,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91E-06,0.0904,0.494,129.958,4
136,r&b,If I Ain't Got You,Alicia Keys,228706,FALSE,80,15,0.609,0.444,7,-9.129,1,0.106,0.603,6.86E-06,0.104,0.166,118.402,3
137,rap,POPSTAR (feat. Drake),DJ Khaled,200221,TRUE,68,14,0.803,0.565,5,-4.711,0,0.235,0.0558,0,0.141,0.474,163.085,4
138,pop,Things You Can't Change,Rhys Lewis,199306,FALSE,57,17,0.756,0.374,1,-7.555,1,0.0368,0.575,0,0.109,0.551,84.975,4
139,pop,forever&more,ROLE MODEL,175608,FALSE,69,1,0.694,0.637,9,-5.896,1,0.0806,0.298,9.69E-06,0.123,0.506,83.982,4
140,edm,Never Lost,Amtrac,406026,FALSE,53,4,0.671,0.526,1,-8.433,1,0.0373,0.0185,0.841,0.299,0.252,119.991,4
141,rap,Day 'N' Nite (Nightmare),Kid Cudi,221240,FALSE,73,16,0.88,0.443,11,-6.359,0,0.0653,0.462,7.13E-06,0.122,0.803,138.018,4
142,edm,Light,San Holo,239853,FALSE,63,1,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49E-06,0.0932,0.43,150.088,4
143,hiphop,Sippin On Some Syrup (feat. UGK (Underground Kingz) & Project Pat),Three 6 Mafia,261133,TRUE,36,17,0.939,0.859,11,-4.131,1,0.104,0.00882,0,0.102,0.889,136.025,4
144,edm,Something Just Like This,The Chainsmokers,247160,FALSE,83,12,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,4
145,r&b,T-Shirts & Panties feat. Jamie Foxx,Adina Howard,291173,FALSE,39,15,0.816,0.422,4,-8.591,0,0.0914,0.245,0,0.0833,0.47,107.904,4
146,rap,Soul Survivor,Jeezy,280013,TRUE,66,19,0.682,0.483,10,-7.718,1,0.0451,0.00103,0,0.159,0.108,84.012,4
147,pop,Shouldn't Be,Luke Chiang,210436,FALSE,73,1,0.651,0.291,4,-10.009,1,0.0326,0.738,0,0.115,0.302,124.898,3
148,edm,Lovefool,twocolors,190487,FALSE,77,1,0.677,0.766,6,-6.896,1,0.0568,0.0219,6.81E-06,0.129,0.198,123.062,4
149,latin,Yo Se Que Es Mentira,Amaury Gutiérrez,258226,FALSE,49,10,0.723,0.689,9,-5.587,1,0.0425,0.233,0,0.0523,0.395,96.843,4
150,rap,Afterlife,Flatbush Zombies,194746,TRUE,57,1,0.736,0.535,1,-8.564,1,0.0924,0.31,1.13E-06,0.107,0.376,110.014,4
151,rap,I Think They Like Me - Remix,Dem Franchize Boyz,282093,TRUE,50,12,0.781,0.625,7,-9.139,1,0.373,0.00447,0,0.185,0.679,83.024,4
152,pop,Hero (feat. Christina Perri),Cash Cash,197840,FALSE,71,16,0.47,0.85,1,-2.825,0,0.0363,0.0627,0,0.118,0.148,149.876,4
153,rock,Enter Sandman,Metallica,331266,FALSE,79,12,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,4
154,pop,blind,ROLE MODEL,153293,FALSE,72,6,0.765,0.663,0,-5.223,1,0.0652,0.141,0.000297,0.0924,0.686,150.091,4
155,rap,Hell on Earth (Front Lines),Mobb Deep,274093,TRUE,65,14,0.875,0.658,0,-3.641,1,0.359,0.275,0,0.122,0.661,92.038,4
156,pop,Susie Save Your Love,Allie X,238880,FALSE,58,12,0.646,0.595,10,-6.709,0,0.0512,0.00457,5.79E-06,0.0527,0.772,73.973,4
157,rap,Grinding All My Life,Nipsey Hussle,175040,TRUE,68,16,0.6,0.716,3,-5.554,0,0.384,0.0491,0,0.109,0.246,180.165,4
158,rock,Inside Out,Spoon,301960,FALSE,64,10,0.621,0.62,0,-4.721,1,0.0293,0.459,0.162,0.0771,0.515,176.016,4
159,hiphop,The Choice Is Yours (Revisited),Black Sheep,243200,FALSE,58,22,0.867,0.679,10,-12.028,0,0.207,0.0336,1.59E-06,0.0742,0.68,101.293,4
160,r&b,Steelo,702,257959,FALSE,57,10,0.767,0.731,8,-8.109,0,0.114,0.103,0.00364,0.102,0.678,90.997,4
161,r&b,Can't Raise a Man,K. Michelle,208040,FALSE,58,11,0.623,0.677,5,-5.215,1,0.0639,0.0233,0,0.0724,0.182,151.804,4
162,r&b,Rock Wit U (Awww Baby),Ashanti,209120,FALSE,66,20,0.71,0.797,4,-3.006,0,0.0582,0.408,0,0.16,0.849,94.998,4
163,pop,Bored,Billie Eilish,180933,FALSE,88,1,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959,4
164,latin,Colgando en tus manos (con Marta Sánchez),Carlos Baute,230280,FALSE,75,16,0.836,0.637,6,-4.803,1,0.0367,0.535,0,0.129,0.875,120.025,4
165,latin,La Incondicional,Luis Miguel,257026,FALSE,76,10,0.374,0.727,10,-4.352,1,0.0309,0.237,0,0.134,0.283,155.127,4
166,hiphop,The Enemy,Big L,168013,TRUE,55,16,0.6,0.649,11,-8.372,1,0.393,0.115,0.00019,0.824,0.877,174.13,4
167,rock,Maneater,Daryl Hall & John Oates,273173,FALSE,75,11,0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56E-05,0.0761,0.823,88.825,4
168,rap,Back In Blood (feat. Lil Durk),Pooh Shiesty,184489,TRUE,72,17,0.759,0.538,8,-8.256,0,0.384,0.151,0,0.126,0.831,146.933,4
