snum,Genre,Title,Artist,duration_ms,explicit,popularity,total_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
256,rap,Music (feat. Marvin Gaye),Erick Sermon,223133,TRUE,58,16,0.897,0.466,10,-9.053,0,0.203,0.187,1.35E-06,0.0757,0.884,100.01,4
257,pop,Sugar Daddy,Qveen Herby,203809,TRUE,70,5,0.953,0.453,10,-7.197,1,0.07,0.0605,0.000159,0.625,0.0368,126.009,4
258,hiphop,6 'N the Mornin',ICE-T,224866,TRUE,49,13,0.823,0.745,5,-6.637,0,0.247,0.00282,0.000332,0.323,0.58,91.919,4
259,rock,Cut You In,Jerry Cantrell,203000,FALSE,5,12,0.632,0.742,10,-6.785,1,0.0342,0.225,0.00115,0.138,0.725,119.509,4
260,latin,Bonita,Cabas,237335,FALSE,63,11,0.716,0.552,9,-8.316,1,0.0347,0.4,0,0.232,0.785,108.045,4
261,rap,Pure Water (with Migos),Mustard,192470,TRUE,77,10,0.682,0.559,0,-5.545,1,0.127,0.174,0,0.344,0.137,202.015,4
262,pop,Silence,Marshmello,180822,FALSE,80,1,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,4
263,latin,Mi Cuarto,Jerry Di,197586,FALSE,75,9,0.854,0.525,1,-4.426,1,0.214,0.819,0,0.146,0.63,97.054,4
264,rock,Our Lips Are Sealed - Single Version,The Go-Go's,167960,FALSE,62,11,0.608,0.864,8,-7.101,1,0.0522,0.0444,2.95E-06,0.0341,0.947,131.208,4
265,pop,Like This (feat. Eve),Kelly Rowland,215853,FALSE,56,14,0.668,0.723,1,-5.995,1,0.279,0.00183,0,0.0545,0.486,178.126,4
266,pop,You Are The Reason,Calum Scott,204326,FALSE,82,14,0.329,0.235,10,-7.699,1,0.0303,0.918,0,0.137,0.22,171.006,3
267,hiphop,Just The Two Of Us,Chubb Rock,215533,FALSE,39,17,0.856,0.419,2,-12.526,1,0.25,0.213,0,0.234,0.42,90.385,4
268,r&b,Closer,Goapele,228920,FALSE,0,16,0.715,0.429,1,-6.476,1,0.0315,0.448,0.0223,0.102,0.359,93.006,4
269,rock,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,244026,FALSE,75,12,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53E-05,0.0747,0.813,92.033,4
270,rap,Shit Hits The Fan,Obie Trice,292013,TRUE,64,17,0.786,0.9,1,-0.839,1,0.205,0.0262,0.0235,0.306,0.627,91.984,4
271,pop,Just Thought You Should Know,Betty Who,203692,FALSE,50,13,0.778,0.748,8,-6.298,1,0.0517,0.0215,0,0.047,0.635,105.994,4
272,latin,Como Olvidar - Merengue Versión,Olga Tañón,279546,FALSE,54,12,0.74,0.894,10,-5.445,1,0.0327,0.231,0,0.111,0.6,130.01,4
273,rock,Alone,Heart,218733,FALSE,73,10,0.418,0.452,1,-13.099,1,0.0356,0.638,0.00026,0.0959,0.168,175.088,4
274,hiphop,So Fly (J. Period Remix),Nate Dogg,185813,TRUE,58,44,0.605,0.602,0,-6.837,0,0.398,0.177,0,0.405,0.829,82.261,4
275,rap,Bugatti,Ace Hood,269266,TRUE,64,14,0.6,0.592,1,-4.947,1,0.0545,0.0191,0,0.0955,0.0663,130.205,4
276,edm,1 Like You,Orjan Nilsen,200129,FALSE,45,14,0.579,0.753,7,-3.923,1,0.324,0.0215,0,0.365,0.286,127.972,4
277,r&b,Halo,BeyoncÃ©,261160,FALSE,74,20,0.422,0.712,11,-5.907,0,0.1,0.273,0,0.051,0.471,78.454,4
278,edm,All That I Can,ALPHA 9,217619,FALSE,48,1,0.511,0.982,9,-3.326,0,0.0315,0.00119,0.000511,0.342,0.906,126.001,4
279,rock,Remedy,The Black Crowes,322640,FALSE,59,10,0.411,0.978,10,-3.801,0,0.0532,0.00138,3.97E-06,0.0782,0.353,160.478,4
280,rap,Dead Man Walking,Brent Faiyaz,247079,TRUE,77,1,0.505,0.267,9,-13.763,0,0.05,0.279,0,0.096,0.439,143.929,4
281,r&b,Free Yourself (feat. Missy Elliott),Fantasia,257426,FALSE,52,13,0.717,0.449,5,-9.688,0,0.0596,0.681,0,0.0902,0.611,108.802,4
282,edm,Satisfaction - Isaak Original,Benny Benassi,285133,FALSE,44,18,0.804,0.717,9,-3.366,1,0.103,0.185,0.197,0.0751,0.37,129.971,4
283,pop,Honesty,Pink Sweat$,189000,TRUE,72,18,0.66,0.139,6,-16.339,0,0.0323,0.964,1.10E-05,0.105,0.312,79.975,4
284,pop,Peach,BROODS,255397,FALSE,56,12,0.688,0.738,5,-4.831,1,0.0404,0.0085,3.54E-05,0.258,0.251,111.013,4
285,latin,Solitaria,Alkilados,218130,FALSE,58,15,0.814,0.651,8,-7.041,1,0.081,0.302,0.00048,0.107,0.592,97.978,4
286,latin,Como Lo Hacia Yo (Official Remix),Ken-Y,281170,FALSE,55,1,0.74,0.727,7,-6.982,0,0.0361,0.184,0,0.198,0.699,94.011,4
287,latin,Medicina De Amor,Raulin Rodriguez,360720,FALSE,63,10,0.662,0.461,1,-7.36,1,0.0495,0.315,1.12E-06,0.0445,0.912,142.553,4
288,hiphop,Peruvian Cocaine,Immortal Technique,288666,TRUE,48,18,0.686,0.631,4,-7.458,0,0.386,0.583,0,0.329,0.65,86.276,4
289,pop,Mama Said,Lukas Graham,206756,FALSE,46,12,0.748,0.867,7,-4.715,0,0.0536,0.0229,1.28E-05,0.392,0.531,84.005,4
290,pop,That Girl,Gen Bello,168214,TRUE,8,7,0.576,0.314,8,-11.343,1,0.07,0.709,0,0.0978,0.619,83.291,4
291,hiphop,Vivrant Thing,Q-Tip,190826,TRUE,41,20,0.924,0.75,9,-6.582,1,0.0418,0.007,0.000198,0.0638,0.672,99.034,4
292,pop,Charmander,Aminé,131883,TRUE,68,12,0.708,0.552,10,-7.101,1,0.0714,0.542,0.00377,0.175,0.596,87.195,4
293,r&b,Guilty,Sevyn Streeter,221650,TRUE,52,15,0.628,0.685,1,-3.856,1,0.143,0.158,0,0.101,0.548,91.963,4
294,latin,Pase Lo Que Pase,Big Boy,223773,FALSE,44,12,0.918,0.668,10,-6.711,0,0.0812,0.018,0.00526,0.283,0.55,90.214,4
295,r&b,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,Mario Winans,257333,FALSE,68,80,0.833,0.515,11,-5,0,0.0462,0.347,0.00156,0.116,0.4,97.035,4
296,edm,Chop It Up,BIJOU,215238,FALSE,57,1,0.691,0.661,2,-3.263,1,0.0348,0.00222,0.0258,0.207,0.635,126.021,4
297,edm,Monster (Rework),DotEXE,221831,FALSE,50,1,0.32,0.923,6,-2.581,0,0.199,0.00666,0.00183,0.0823,0.329,144.849,4
298,latin,La Chica De Humo - MTV Unplugged,Emmanuel,298546,FALSE,69,15,0.769,0.727,11,-5.962,0,0.0499,0.0895,0,0.932,0.271,102.059,4
299,pop,Fergalicious,Fergie,292373,TRUE,71,13,0.906,0.584,8,-7.72,0,0.316,0.0576,0,0.128,0.831,129.055,4
300,pop,Love Song,Sara Bareilles,258826,FALSE,74,12,0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,4
301,rock,Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash",157893,FALSE,66,14,0.567,0.159,7,-13.648,1,0.0331,0.914,0,0.111,0.436,146.913,4
302,edm,Pressure,Draper,318537,FALSE,41,1,0.474,0.692,6,-5.776,0,0.033,0.0171,1.83E-05,0.138,0.492,139.884,4
303,hiphop,Reborn,KIDS SEE GHOSTS,324674,TRUE,73,7,0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,4
304,rock,Lost In The Wild,WALK THE MOON,235960,FALSE,69,13,0.483,0.77,6,-4.829,0,0.0512,0.007,0,0.182,0.386,132.992,4
305,hiphop,Jazz Hands,Aesop Rock,204800,TRUE,49,14,0.429,0.789,9,-6.481,0,0.172,0.0913,0,0.162,0.565,73.017,4
306,r&b,Backstroke,Teedra Moses,217840,FALSE,36,18,0.556,0.747,5,-5.697,0,0.102,0.526,0.000866,0.387,0.877,80.81,4
307,pop,Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,321649,TRUE,68,2,0.805,0.858,0,-3.067,1,0.105,0.194,7.89E-06,0.256,0.523,97.033,4
308,r&b,Big Energy,Latto,173182,TRUE,75,1,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,4
309,rap,Shoot My Shot,IDK,172105,TRUE,58,34,0.756,0.577,7,-7.127,1,0.0395,0.00277,0,0.309,0.685,92.036,4
310,pop,Candlelight,Zhavia Ward,189733,FALSE,51,1,0.511,0.542,2,-7.398,1,0.336,0.387,0,0.181,0.439,134.907,4
311,rap,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,260986,TRUE,78,18,0.394,0.661,4,-8.684,1,0.192,0.00996,0,0.343,0.335,149.818,4
312,edm,If I Could,Tut Tut Child,195842,FALSE,39,1,0.397,0.725,4,-5.418,0,0.0951,0.0103,4.42E-06,0.134,0.123,177.882,4
313,rock,Southern Cross - 2005 Remaster,"Crosby, Stills & Nash",281000,FALSE,64,15,0.669,0.446,2,-11.125,1,0.0312,0.476,3.04E-06,0.153,0.587,81.558,4
314,rock,I Wanna Be Sedated,Ramones,149786,FALSE,67,80,0.56,0.965,11,-2.341,1,0.0409,0.121,6.23E-06,0.169,0.964,162.825,4
315,rap,Wreck (feat. Big Sean),2 Chainz,123200,TRUE,66,17,0.889,0.594,10,-6.593,0,0.104,0.563,0,0.175,0.758,119.984,4
316,latin,Amiga mía,Alejandro Sanz,290973,FALSE,71,10,0.629,0.703,2,-4.875,1,0.0504,0.519,0,0.11,0.402,144.016,4
317,latin,Yo no te pido la luna (Non voglio mica la luna),Daniela Romo,236453,FALSE,62,12,0.699,0.906,1,-4.593,1,0.0483,0.241,0,0.298,0.666,121.848,4
318,hiphop,Piano Love,Conway the Machine,240957,TRUE,56,1,0.653,0.675,1,-8.46,0,0.374,0.434,5.37E-06,0.112,0.513,152.129,4
319,rock,Song 2 - 2012 Remaster,Blur,121160,FALSE,77,32,0.674,0.789,8,-6.903,1,0.0676,0.00178,0.0071,0.0754,0.918,129.804,4
320,hiphop,Conscious Style (feat. KRS-One),Poor Righteous Teachers,266386,TRUE,40,18,0.846,0.774,6,-4.209,0,0.284,0.0648,0,0.203,0.631,93.26,4
321,edm,Party Till We Die - Radio Edit,MAKJ,158554,FALSE,48,1,0.64,0.94,5,-2.976,0,0.0795,0.00528,0.000484,0.357,0.243,127.995,4
322,hiphop,Rebirth Of Slick (Cool Like Dat),Digable Planets,261266,FALSE,60,14,0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,4
323,rock,Dear Mr. Fantasy,Traffic,334000,FALSE,62,10,0.24,0.615,2,-14.117,1,0.0677,0.171,0.0125,0.0801,0.768,166.657,4
324,edm,Hello (feat. Dragonette),Martin Solveig,191587,FALSE,44,3,0.661,0.969,3,-3.532,1,0.0344,0.00964,0.00218,0.119,0.46,127.989,4
325,pop,Hurricane,Bridgit Mendler,243986,FALSE,70,12,0.757,0.825,7,-4.062,0,0.0701,0.0398,2.63E-06,0.0798,0.446,95.01,4
326,latin,Ya No Vives en Mí (Versión Pop) (feat. Carlos Rivera),Yuri,255507,FALSE,64,1,0.526,0.703,9,-4.632,0,0.0297,0.109,2.24E-05,0.16,0.216,98.094,4
327,hiphop,I Like It (I Wanna Be Where You Are),Grand Puba,263533,TRUE,58,11,0.865,0.641,10,-6.652,0,0.162,0.0611,0.000107,0.218,0.762,95.307,4
328,hiphop,24 Deep,Brotha Lynch Hung,253800,TRUE,50,9,0.738,0.778,4,-9.035,0,0.344,0.0458,0,0.13,0.893,89.599,4
329,r&b,Get It On Tonite,Montell Jordan,276266,FALSE,60,18,0.813,0.491,10,-9.923,0,0.077,0.241,4.61E-05,0.0817,0.868,99.008,4
330,latin,Sin Esencia,Yiyo Sarante,194438,FALSE,58,7,0.797,0.647,5,-6.644,1,0.0432,0.646,5.21E-06,0.0911,0.885,159.917,4
331,pop,Goddess,Jaira Burns,187741,TRUE,56,1,0.749,0.657,10,-9.077,0,0.0384,0.223,3.06E-05,0.0714,0.744,123.975,4
332,rock,I Stand Alone,Godsmack,246040,FALSE,68,12,0.217,0.92,8,-4.479,1,0.0628,2.86E-05,0,0.102,0.376,167.169,4
333,pop,Super Bass,Nicki Minaj,200013,TRUE,79,21,0.723,0.86,11,-4.357,1,0.203,0.271,4.56E-06,0.598,0.667,126.979,4
334,r&b,Doo Wop (That Thing),Ms. Lauryn Hill,320266,FALSE,73,16,0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,4
335,r&b,Sending My Love,ZhanÃ©,221173,FALSE,57,13,0.713,0.503,7,-9.663,1,0.0575,0.0323,0.167,0.0601,0.211,95.019,4
336,latin,DPM (De Pxta Madre),Kany García,181684,FALSE,69,1,0.495,0.672,2,-6.246,1,0.259,0.538,0,0.126,0.687,170.166,4
337,hiphop,Where the Party At (feat. Nelly),Jagged Edge,232573,FALSE,68,14,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,5
338,edm,2 MUCH (feat. 24hrs),Flosstradamus,182400,FALSE,54,1,0.642,0.933,4,-2.887,0,0.0871,0.0657,1.04E-05,0.087,0.158,150.039,4
339,pop,Killshot - Slowed + Reverb,Magdalena Bay,278074,FALSE,64,1,0.624,0.6,1,-7.8,1,0.0383,0.00114,0.00134,0.0676,0.379,84.122,4
340,rap,FLIP THE SWITCH (feat. Drake),Quavo,156195,TRUE,65,19,0.853,0.637,3,-5.924,0,0.331,0.129,0,0.267,0.496,86.048,4
341,latin,Olvidala,Junior & Jorge,289586,FALSE,43,12,0.953,0.563,2,-7.84,1,0.0418,0.197,2.72E-05,0.0448,0.861,129.857,4
342,rock,Have You Ever Seen The Rain,Creedence Clearwater Revival,160133,FALSE,79,13,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28E-05,0.133,0.774,116.109,4
343,pop,Somebody To You,The Vamps,185097,FALSE,77,15,0.526,0.818,3,-5.952,1,0.0358,0.0587,0,0.333,0.896,171.96,4
344,hiphop,What They Do,The Roots,357200,TRUE,61,20,0.885,0.414,0,-10.539,1,0.168,0.341,0.000289,0.0891,0.683,92.727,4
345,rock,Carry On Wayward Son - Single Version,Kansas,207882,FALSE,26,80,0.441,0.694,0,-7.141,1,0.0302,0.0039,5.44E-06,0.366,0.85,126.794,4
346,hiphop,If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,282373,TRUE,69,14,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43E-06,0.0519,0.523,93.908,4
347,pop,Quit (feat. Ariana Grande),Cashmere Cat,258188,TRUE,67,10,0.44,0.413,0,-7.365,0,0.0407,0.105,3.40E-05,0.0997,0.141,86.911,3
348,rap,Tonite,DJ Quik,323266,TRUE,55,13,0.965,0.449,0,-15.225,1,0.236,0.05,1.13E-06,0.267,0.723,105.391,4
349,edm,Only Be Me,DROELOE,208285,FALSE,56,1,0.7,0.581,1,-8.493,0,0.0779,0.118,0.00196,0.135,0.165,140.019,4
350,r&b,When I See U,Fantasia,217346,FALSE,70,14,0.569,0.596,8,-6.486,1,0.172,0.452,7.92E-05,0.205,0.754,93.135,4
351,rap,How High - Remix,Redman,240133,FALSE,37,5,0.816,0.841,2,-5.744,1,0.357,0.0395,1.40E-06,0.307,0.659,91.577,4
352,rock,Freeze-Frame,The J. Geils Band,237506,FALSE,58,9,0.573,0.806,0,-10.978,1,0.0356,0.151,0.0116,0.405,0.934,186.328,4
353,r&b,My Love Is the Shhh!,Somethin' For The People,281746,FALSE,45,16,0.779,0.715,2,-5.886,0,0.0368,0.297,0,0.157,0.621,126.036,4
354,r&b,Slowly,Syleena Johnson,263266,FALSE,33,16,0.519,0.336,3,-10.057,0,0.0461,0.554,0,0.0903,0.12,62.142,4
355,pop,Rain On Me (with Ariana Grande),Lady Gaga,182200,FALSE,77,16,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,4
356,rock,Lydia,Highly Suspect,242560,TRUE,65,10,0.417,0.706,6,-4.652,0,0.0945,0.00933,0.000572,0.474,0.512,127.884,4
357,r&b,Where My Girls At,702,166693,FALSE,62,14,0.705,0.725,4,-7.435,1,0.0506,0.0352,0.0149,0.194,0.76,92.186,4
358,r&b,Pull Over,Trina,194293,TRUE,49,18,0.955,0.768,1,-5.54,0,0.181,0.0134,0,0.308,0.741,125.04,4
359,latin,Dejame un Beso,Juan Manuel,241240,FALSE,45,10,0.684,0.889,10,-4.905,1,0.0607,0.387,0.00512,0.0462,0.493,171.876,4
360,hiphop,Superhoes,Funkdoobiest,231760,TRUE,46,13,0.807,0.285,6,-14.823,1,0.337,0.0698,0.192,0.173,0.459,97.549,4
361,latin,Te quiero,Hombres G,225760,FALSE,72,14,0.736,0.711,2,-5.503,1,0.0352,0.0029,0.000275,0.0948,0.72,112.305,3
362,latin,Mi Forma De Sentir,Pedro Fernández,245000,FALSE,50,14,0.443,0.201,4,-14.603,1,0.0305,0.655,0,0.135,0.266,132.104,4
363,rap,Int'l Players Anthem (I Choose You),UGK,259040,TRUE,44,29,0.675,0.68,4,-5.01,0,0.256,0.0655,0,0.354,0.845,155.698,4
364,edm,Promises,NERO,257386,FALSE,58,14,0.484,0.943,9,-4.364,0,0.0647,3.77E-05,0.00452,0.593,0.345,143.933,4
365,hiphop,Amnesia,Blu,177920,TRUE,38,14,0.579,0.673,6,-6.798,1,0.204,0.185,0,0.559,0.677,87.951,4
366,rap,Bust A Move,Young MC,263914,FALSE,63,13,0.946,0.772,4,-7.537,0,0.121,0.0512,2.26E-06,0.0612,0.743,116.972,4
367,hiphop,Roses,Outkast,369573,TRUE,72,40,0.751,0.708,0,-5.653,1,0.0545,0.0482,1.85E-05,0.107,0.509,108.97,4
368,edm,Next to Me,Otto Knows,202169,FALSE,59,2,0.596,0.752,11,-4.904,1,0.07,0.785,0.000419,0.105,0.306,127.06,4
369,r&b,I Miss You,Aaron Hall,381733,FALSE,47,15,0.713,0.754,6,-5.277,1,0.0271,0.0298,0,0.136,0.564,120.079,4
370,pop,Too Good At Goodbyes,Sam Smith,201000,FALSE,81,14,0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,4
371,pop,Like No One Does,Jake Scott,158469,FALSE,60,9,0.801,0.41,10,-12.734,1,0.237,0.35,1.45E-06,0.107,0.442,104.935,4
372,pop,Sweet but Psycho,Ava Max,187436,FALSE,82,16,0.72,0.706,1,-4.719,1,0.0473,0.0684,0,0.166,0.62,133.002,4
373,edm,Space Invaders,Teminite,348164,FALSE,46,1,0.58,0.952,8,-2.286,1,0.0806,0.00021,0.828,0.325,0.694,127.991,4
374,pop,Jar of Hearts,Christina Perri,246587,FALSE,74,13,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,4
375,rock,Run to the Hills - 2015 Remaster,Iron Maiden,233506,FALSE,70,8,0.249,0.943,0,-5.188,1,0.0669,0.0286,0.00401,0.162,0.458,173.671,4
376,latin,Donde Estan Esos Amigos,El Chaval de la Bachata,270480,FALSE,58,4,0.839,0.643,10,-5.252,0,0.0336,0.0756,0.000143,0.305,0.735,129.104,4
377,rock,Old Man - 2009 Remaster,Neil Young,202146,FALSE,67,10,0.702,0.244,4,-15.286,0,0.0355,0.431,0.00867,0.0963,0.444,141.317,4
378,edm,Till It's Over,Tristam,270545,FALSE,54,1,0.61,0.836,7,-6.428,0,0.089,0.123,0,0.164,0.329,110.032,4
379,edm,Lisbon,Markus Schulz,191082,FALSE,46,1,0.474,0.839,7,-11.903,1,0.0349,5.80E-05,0.936,0.148,0.0362,133.997,4
380,pop,Ur Best Friend (with Kehlani),Kiana Ledé,182858,FALSE,68,1,0.565,0.531,2,-6.09,1,0.197,0.497,1.94E-06,0.102,0.237,129.424,4
381,edm,Show Me,Habstrakt,174696,FALSE,49,1,0.672,0.825,1,-4.551,1,0.233,0.0211,0.0934,0.648,0.351,127.982,4
382,rock,Far Behind,Candlebox,299733,FALSE,66,11,0.552,0.645,7,-6.595,1,0.0268,0.00187,1.38E-06,0.0424,0.588,89.518,4
383,latin,La Curiosidad,Jay Wheeler,219048,FALSE,84,12,0.845,0.677,11,-4.798,0,0.136,0.269,0.000917,0.108,0.68,90.013,4
384,edm,Skydance,W&W,166812,FALSE,63,2,0.377,0.895,8,-2.467,1,0.0476,0.000408,0.000647,0.607,0.449,75.108,4
385,latin,Guallando,Fulanito,205333,FALSE,60,10,0.681,0.907,7,-8.181,1,0.0699,0.0497,0,0.715,0.94,149.938,4
386,hiphop,Dirty South (feat. Big Boi & Cool Breeze),Goodie Mob,214040,TRUE,43,19,0.918,0.36,5,-9.949,0,0.275,0.029,0,0.0799,0.243,91.959,4
387,rap,Hey Ma,Cam’ron,230080,TRUE,57,7,0.764,0.669,8,-5.57,1,0.363,0.0285,5.09E-06,0.337,0.934,89.832,4
388,hiphop,Alphabet Aerobics,Blackalicious,133800,FALSE,55,7,0.65,0.515,10,-8.722,0,0.198,0.0196,0,0.0974,0.885,97.052,4
389,r&b,Fall For Your Type (feat. Drake),Jamie Foxx,269533,TRUE,56,15,0.593,0.393,1,-11.736,1,0.0827,0.394,3.24E-06,0.11,0.193,136.866,4
390,hiphop,Cold Rock a Party,MC Lyte,247306,TRUE,54,11,0.896,0.744,11,-5.239,0,0.246,0.192,1.19E-06,0.108,0.744,92.91,4
391,edm,Oldskool,Julian Jordan,161641,TRUE,42,1,0.655,0.976,10,-4.971,0,0.0485,0.0045,0.688,0.178,0.0729,126.032,4
392,edm,Hold On (feat. Cheat Codes) - 2020 Edit,Moguai,144909,FALSE,58,1,0.622,0.802,9,-4.969,0,0.167,0.17,0,0.263,0.764,124.859,4
393,pop,Where's My Love,SYML,202009,FALSE,78,12,0.608,0.358,0,-10.018,0,0.0253,0.854,0.0186,0.113,0.365,103.94,4
394,rock,Tomorrow,Silverchair,266280,FALSE,66,21,0.292,0.714,2,-4.919,1,0.0316,0.000658,0.000109,0.102,0.462,151.412,3
395,r&b,Love Like This,Faith Evans,275706,FALSE,67,15,0.767,0.551,0,-7.328,1,0.0616,0.00364,0,0.0451,0.796,100.904,4
396,latin,No Te Pido Flores,Fanny Lu,244720,FALSE,58,10,0.727,0.85,1,-5.536,1,0.0867,0.47,0,0.056,0.867,103.967,4
397,r&b,I Want You Around,Snoh Aalegra,212787,TRUE,69,14,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,4
398,rock,Golden Brown,The Stranglers,206760,FALSE,71,17,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,3
399,pop,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,242983,TRUE,77,1,0.805,0.33,1,-8.712,0,0.1,0.22,0,0.105,0.211,121.97,4
400,rock,Immigrant Song - Remaster,Led Zeppelin,146250,FALSE,77,10,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,4
401,pop,I Really Like You,Carly Rae Jepsen,204763,FALSE,70,17,0.62,0.805,5,-5.538,1,0.0417,0.00564,9.15E-05,0.285,0.586,122.062,4
402,latin,A Dios Le Pido,Juanes,205373,FALSE,70,12,0.673,0.841,7,-3.564,1,0.0557,0.0683,0,0.0965,0.94,97.027,4
403,latin,Inventario,Valeria Gastaldi,184133,FALSE,20,11,0.827,0.636,2,-5.659,1,0.0371,0.0127,1.31E-06,0.0778,0.855,115.971,4
404,latin,Suavemente,Elvis Crespo,267160,FALSE,63,10,0.814,0.874,8,-3.18,1,0.071,0.234,0.00162,0.0476,0.911,124.052,4
405,rock,Town Called Malice,The Jam,173320,FALSE,70,11,0.542,0.91,7,-8.924,1,0.0873,0.00228,0.00524,0.0686,0.775,101.774,4
406,rap,a lot,21 Savage,288624,TRUE,79,15,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,4
407,hiphop,The Way You Do It,Little Brother,236400,TRUE,42,8,0.703,0.488,8,-5.702,1,0.183,0.479,0.000961,0.168,0.725,96.032,4
408,edm,Epic - Radio Edit,Sandro Silva,172265,FALSE,48,2,0.536,0.771,4,-2.028,0,0.309,0.322,0.901,0.0653,0.133,128.087,4
409,rap,GATTI,JACKBOYS,181144,TRUE,77,7,0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477,4
410,latin,Como Tu Mujer,Rocío Dúrcal,262706,FALSE,69,10,0.638,0.528,11,-8.786,1,0.0234,0.222,2.43E-05,0.076,0.613,96.053,4
411,pop,I Like It,Cardi B,253390,TRUE,80,13,0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
412,rock,Painkiller,Judas Priest,365826,FALSE,65,12,0.435,0.987,1,-4.667,0,0.16,0.000195,0.0847,0.268,0.101,103.16,4
413,hiphop,Damn It Feels Good to Be a Gangsta,Geto Boys,310600,TRUE,61,12,0.785,0.793,1,-7.915,1,0.163,0.22,0.718,0.124,0.655,88.902,4
414,hiphop,Funky Child,Lords Of The Underground,271066,TRUE,47,15,0.859,0.635,10,-9.532,0,0.193,0.0356,0.00346,0.13,0.53,96.571,4
415,rock,Free Bird,Lynyrd Skynyrd,547106,FALSE,74,8,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48E-05,0.0924,0.338,118.223,4
416,latin,El Privilegio De Amar,Mijares,236493,FALSE,66,12,0.515,0.426,2,-7.935,1,0.0351,0.692,1.01E-06,0.121,0.319,184.145,4
417,rock,Why Does It Always Rain On Me?,Travis,265000,FALSE,64,10,0.497,0.537,4,-9.264,1,0.0269,0.079,0.000139,0.0782,0.371,108.448,4
418,edm,Poison,Rita Ora,202906,FALSE,74,1,0.579,0.738,10,-5.711,1,0.0542,0.0821,1.52E-06,0.232,0.431,124.023,4
419,rap,Ni**as In Paris,JAY-Z,219333,TRUE,82,16,0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,4
420,hiphop,All The Way Up,Fat Joe,191900,TRUE,65,12,0.414,0.807,10,-4.12,0,0.348,0.0428,0,0.822,0.409,175.158,4
421,pop,Final Song,MØ,235826,FALSE,67,1,0.695,0.672,1,-6.109,0,0.0345,0.014,7.95E-05,0.0756,0.245,104.988,4
422,rock,Runnin' Wild,Airbourne,218040,FALSE,67,11,0.503,0.96,10,-2.672,1,0.0626,9.25E-05,0.578,0.274,0.489,162.022,4
423,r&b,Love Again,Brandy,214760,FALSE,27,15,0.432,0.472,7,-5.383,0,0.114,0.415,2.06E-06,0.097,0.509,77.35,4
424,hiphop,Feel so Good,Mase,203626,TRUE,66,20,0.821,0.703,11,-8.464,0,0.24,0.192,0,0.0816,0.536,105.154,4
425,hiphop,1 Scale (feat. G Herbo),Young Dolph,176040,TRUE,74,16,0.878,0.635,6,-5.811,0,0.24,0.0289,0,0.276,0.331,135.035,4
426,pop,Heaven,Julia Michaels,191813,FALSE,46,1,0.554,0.371,7,-9.104,0,0.0361,0.853,0,0.0838,0.246,199.824,3
427,pop,Halo,Beyoncé,261160,FALSE,74,20,0.422,0.712,11,-5.907,0,0.1,0.273,0,0.051,0.471,78.454,4
428,r&b,Emotional,Carl Thomas,271867,FALSE,47,17,0.548,0.542,1,-8.435,0,0.0409,0.544,0,0.148,0.389,83.106,4
429,latin,Suena El Dembow,Joey Montana,195760,FALSE,64,13,0.69,0.858,0,-4.431,1,0.0531,0.189,0,0.113,0.755,91.883,4
